twist_angle,potential,width
0.99,ouyang,40.81090890890893
1.05,ouyang,41.13546146146146
1.08,ouyang,38.2565855855856
1.16,ouyang,35.73437837837838
1.47,ouyang,30.967683683683674
2.0,ouyang,22.287037037037038
2.88,ouyang,16.30133633633634
3.89,ouyang,11.0654054054054
4.4,ouyang,8.493872872872874
5.1,ouyang,7.336253253253254
6.0,ouyang,7.0052532532532545
0.99,refit,36.38562962962963
1.05,refit,33.04702802802802
1.08,refit,33.78213113113112
1.16,refit,32.39081081081082
1.47,refit,24.378814814814817
2.0,refit,19.154804804804805
2.88,refit,15.298177177177173
3.89,refit,10.32771171171171
4.4,refit,8.169266266266266
5.1,refit,7.149342342342344
6.0,refit,6.847831831831833
